unique_id,ds,Naive,SeasonalNaive,AutoETS,AutoARIMA,LGBMRegressor,NBEATS,NHITS
hotel_0,2023-06-03,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7688887033530285,0.8351337273618356,0.8100686,0.7961345
hotel_0,2023-06-04,0.691358024691358,0.8888888888888888,0.44619812577350415,0.6528064874298182,0.5311539664772131,0.51801586,0.5229894
hotel_0,2023-06-05,0.691358024691358,0.2716049382716049,0.4630176387175448,0.46871383987447274,0.6560244581433198,0.5274033,0.5267503
hotel_0,2023-06-06,0.691358024691358,0.2962962962962963,0.4974787656284047,0.5235681551297304,0.6862766544061956,0.61109024,0.59833807
hotel_0,2023-06-07,0.691358024691358,0.3950617283950617,0.49463782357505137,0.5867090204520703,0.6707675370578081,0.6278553,0.65157706
hotel_0,2023-06-08,0.691358024691358,0.43209876543209874,0.5302349726523373,0.5946266564359065,0.662466560617506,0.65069455,0.6370995
hotel_0,2023-06-09,0.691358024691358,0.691358024691358,0.6383032223681587,0.7015150822233158,0.7622825919495979,0.75404036,0.7645078
hotel_0,2023-06-10,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7517429893606264,0.8443783049294135,0.8526629,0.82496583
hotel_0,2023-06-11,0.691358024691358,0.8888888888888888,0.44619812577350415,0.6969647198000811,0.5885907986172652,0.56583893,0.55334276
hotel_0,2023-06-12,0.691358024691358,0.2716049382716049,0.4630176387175448,0.5135811808860375,0.6959583619747398,0.5569413,0.5269215
hotel_0,2023-06-13,0.691358024691358,0.2962962962962963,0.4974787656284047,0.5363973453767802,0.669931748144429,0.63951176,0.61695004
hotel_0,2023-06-14,0.691358024691358,0.3950617283950617,0.49463782357505137,0.576728524954384,0.6904207833203804,0.6504299,0.6572743
hotel_0,2023-06-15,0.691358024691358,0.43209876543209874,0.5302349726523373,0.5867528565400807,0.6968657122915262,0.6544234,0.64402544
hotel_0,2023-06-16,0.691358024691358,0.691358024691358,0.6383032223681587,0.6734318642200213,0.7404852544273167,0.8044026,0.7562206
hotel_0,2023-06-17,0.691358024691358,0.9753086419753086,0.6651701798416771,0.7052810634838342,0.7995698899278085,0.87796694,0.82028514
hotel_0,2023-06-18,0.691358024691358,0.8888888888888888,0.44619812577350415,0.6642413574670256,0.5919590783767047,0.5286157,0.5466749
hotel_0,2023-06-19,0.691358024691358,0.2716049382716049,0.4630176387175448,0.5678529140201954,0.6462246556782781,0.55172485,0.5347338
hotel_0,2023-06-20,0.691358024691358,0.2962962962962963,0.4974787656284047,0.5862563907388308,0.7081693219932923,0.6217624,0.6142558
hotel_0,2023-06-21,0.691358024691358,0.3950617283950617,0.49463782357505137,0.6120008861101389,0.7305197205725041,0.6421816,0.62893814
hotel_0,2023-06-22,0.691358024691358,0.43209876543209874,0.5302349726523373,0.6168406370674555,0.7595749783711269,0.66521883,0.62778085
hotel_0,2023-06-23,0.691358024691358,0.691358024691358,0.6383032223681587,0.6663886721539208,0.8108731113375397,0.76919687,0.7554205
hotel_0,2023-06-24,0.691358024691358,0.9753086419753086,0.6651701798416771,0.6867914627963332,0.8545200190348091,0.8517979,0.82819694
hotel_0,2023-06-25,0.691358024691358,0.8888888888888888,0.44619812577350415,0.6624961883847065,0.6650654327374956,0.54646903,0.5832023
hotel_0,2023-06-26,0.691358024691358,0.2716049382716049,0.4630176387175448,0.5944578609017889,0.6923683810898004,0.5574816,0.5391596
