unique_id,cutoff,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA
hotel_0,2023-01-13,bias,0.003086419753086402,-0.2561728395061728,-0.15894283044939161,-0.24744728314086437
hotel_105,2023-01-13,bias,0.38881401617250677,0.004267744833782565,0.13776940310609131,0.11876746620962302
hotel_112,2023-01-13,bias,-0.3020089285714286,-0.10290178571428574,-0.16453685288704148,-0.14586929066577045
hotel_126,2023-01-13,bias,0.09163346613545813,0.01878201479795104,0.038139770223736234,0.012186140645926899
hotel_133,2023-01-13,bias,-0.2529274004683841,-0.1569086651053864,-0.25972896751885144,-0.1543140469286615
hotel_14,2023-01-13,bias,0.04919137466307281,-0.10175202156334233,-0.017328434069887107,-0.06383925303068094
hotel_21,2023-01-13,bias,-0.13359788359788358,-0.025793650793650792,-0.12374543745560988,-0.07456043184357587
hotel_28,2023-01-13,bias,0.0,0.0,-0.037831414130186904,-0.011572572100827053
hotel_35,2023-01-13,bias,-0.03752790178571429,0.04701450892857143,-0.02640963232980848,-0.0036914259002286715
hotel_42,2023-01-13,bias,0.24595141700404863,0.2806535569693464,0.20259537115978762,0.12273206583325878
hotel_49,2023-01-13,bias,0.03742981908920779,-0.03555832813474734,-0.016760710380510826,-0.020783887862054064
hotel_56,2023-01-13,bias,-0.04642857142857142,-0.029761904761904778,-0.04940292837918969,-0.0490947445851248
hotel_63,2023-01-13,bias,0.22682539682539682,-0.025238095238095237,0.07289216725275709,0.00876758198070295
hotel_7,2023-01-13,bias,0.10539785946952074,0.014425314099581203,0.007438626022491976,0.025887037101916
hotel_70,2023-01-13,bias,0.014567669172932356,-0.0606203007518797,-0.08348109257084324,-0.029897436685222538
hotel_77,2023-01-13,bias,0.0,0.0,0.0033869137452352317,4.318002895799668e-07
hotel_84,2023-01-13,bias,0.23566485417696487,0.04387048937221947,0.03861090435048755,-0.020843098114652077
hotel_91,2023-01-13,bias,-0.18739967897271265,0.013242375601926175,-0.14588445983748133,-0.09171290422720882
hotel_98,2023-01-13,bias,0.13018433179723504,0.08525345622119816,0.06771622936324694,0.10041202587453053
hotel_0,2023-02-10,bias,-0.17901234567901234,-0.09611992945326278,-0.20373964274949868,-0.06123962812603672
hotel_105,2023-02-10,bias,0.18890386343216534,-0.04919137466307279,-0.016909521594322196,-0.028763633613814208
hotel_112,2023-02-10,bias,0.1176339285714286,0.07477678571428571,0.08589922949513651,0.04838274537874505
hotel_126,2023-02-10,bias,0.0017074558907227819,0.006829823562891278,-0.04310797212838098,-0.024430324406124488
hotel_133,2023-02-10,bias,-0.1176814988290398,-0.04039812646370023,-0.12325381727191805,-0.041153693312442244
hotel_14,2023-02-10,bias,-0.0539083557951482,-0.06603773584905659,-0.046033903206538426,-0.06853984907685085
hotel_21,2023-02-10,bias,-0.0019841269841269493,-0.0033068783068783097,-0.004622343354040346,-0.04908517436684777
hotel_28,2023-02-10,bias,0.0,0.0,0.006850707774334282,-0.0025847488743147616
hotel_35,2023-02-10,bias,-0.171875,-0.17661830357142858,-0.13188815587576969,-0.108470259110702
hotel_42,2023-02-10,bias,-0.175534991324465,-0.186524002313476,-0.21965283401245514,-0.06741641337712355
hotel_49,2023-02-10,bias,0.16032439176543978,0.15595757953836556,0.11041407204514526,0.11645398772476212
hotel_56,2023-02-10,bias,-0.052976190476190434,-0.010119047619047614,-0.042360074740681056,-0.040978988201582044
hotel_63,2023-02-10,bias,0.11349206349206355,-0.012222222222222223,0.028882917183112953,0.012701327828286093
hotel_7,2023-02-10,bias,0.02716379711493719,-0.06311074918566777,-0.08043818197776373,-0.06573611760010216
