unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,AutoARIMA
hotel_0,2023-01-14,2023-01-13,0.9382716049382716,0.7901234567901234,0.6296296296296297,0.7618706708026569,0.7321107554316748
hotel_0,2023-01-15,2023-01-13,0.6049382716049383,0.7901234567901234,0.35802469135802467,0.5619687029649754,0.4817349954262269
hotel_0,2023-01-16,2023-01-13,0.4691358024691358,0.7901234567901234,0.5555555555555556,0.5685550879290876,0.5023097456965425
hotel_0,2023-01-17,2023-01-13,0.5679012345679012,0.7901234567901234,0.43209876543209874,0.5837705084993184,0.4911528889751107
hotel_0,2023-01-18,2023-01-13,0.6666666666666666,0.7901234567901234,0.4567901234567901,0.5733398991343857,0.4945989294473396
hotel_0,2023-01-19,2023-01-13,0.6419753086419753,0.7901234567901234,0.49382716049382713,0.614965382194576,0.5390369959454014
hotel_0,2023-01-20,2023-01-13,0.7530864197530864,0.7901234567901234,0.7901234567901234,0.7321891945885179,0.6702030837451831
hotel_0,2023-01-21,2023-01-13,0.7777777777777778,0.7901234567901234,0.6296296296296297,0.7618706708026569,0.6540968961412228
hotel_0,2023-01-22,2023-01-13,0.654320987654321,0.7901234567901234,0.35802469135802467,0.5619687029649754,0.44398471696038727
hotel_0,2023-01-23,2023-01-13,0.8024691358024691,0.7901234567901234,0.5555555555555556,0.5685550879290876,0.4973639337483413
hotel_0,2023-01-24,2023-01-13,0.8641975308641975,0.7901234567901234,0.43209876543209874,0.5837705084993184,0.4799258287870961
hotel_0,2023-01-25,2023-01-13,0.9506172839506173,0.7901234567901234,0.4567901234567901,0.5733398991343857,0.4903481862963325
hotel_0,2023-01-26,2023-01-13,0.8765432098765432,0.7901234567901234,0.49382716049382713,0.614965382194576,0.528502984522463
hotel_0,2023-01-27,2023-01-13,0.9135802469135802,0.7901234567901234,0.7901234567901234,0.7321891945885179,0.6603044884012111
hotel_0,2023-01-28,2023-01-13,0.8271604938271605,0.7901234567901234,0.6296296296296297,0.7618706708026569,0.6419825028899339
hotel_0,2023-01-29,2023-01-13,0.5432098765432098,0.7901234567901234,0.35802469135802467,0.5619687029649754,0.45375602065234
hotel_0,2023-01-30,2023-01-13,0.9876543209876543,0.7901234567901234,0.5555555555555556,0.5685550879290876,0.4976796123304884
hotel_0,2023-01-31,2023-01-13,0.9876543209876543,0.7901234567901234,0.43209876543209874,0.5837705084993184,0.48305132742085194
hotel_0,2023-02-01,2023-01-13,0.9135802469135802,0.7901234567901234,0.4567901234567901,0.5733398991343857,0.49152194562792245
hotel_0,2023-02-02,2023-01-13,0.9382716049382716,0.7901234567901234,0.49382716049382713,0.614965382194576,0.5257758014110567
hotel_0,2023-02-03,2023-01-13,0.9382716049382716,0.7901234567901234,0.7901234567901234,0.7321891945885179,0.6418421383886098
hotel_0,2023-02-04,2023-01-13,0.9876543209876543,0.7901234567901234,0.6296296296296297,0.7618706708026569,0.6259174587000972
hotel_0,2023-02-05,2023-01-13,0.6049382716049383,0.7901234567901234,0.35802469135802467,0.5619687029649754,0.45807105480106286
hotel_0,2023-02-06,2023-01-13,0.9135802469135802,0.7901234567901234,0.5555555555555556,0.5685550879290876,0.4976304339776315
hotel_0,2023-02-07,2023-01-13,0.7160493827160493,0.7901234567901234,0.43209876543209874,0.5837705084993184,0.484482450495941
hotel_0,2023-02-08,2023-01-13,0.6666666666666666,0.7901234567901234,0.4567901234567901,0.5733398991343857,0.49212502206554665
hotel_0,2023-02-09,2023-01-13,0.8395061728395061,0.7901234567901234,0.49382716049382713,0.614965382194576,0.5226570401275907
hotel_0,2023-02-10,2023-01-13,0.691358024691358,0.7901234567901234,0.7901234567901234,0.7321891945885179,0.6263458706792278
hotel_0,2023-02-11,2023-02-10,0.8271604938271605,0.691358024691358,0.9876543209876543,0.798058285268101,0.777053321898439
hotel_0,2023-02-12,2023-02-10,0.5185185185185185,0.691358024691358,0.6049382716049383,0.5922565279964805,0.6124081036931256
hotel_0,2023-02-13,2023-02-10,0.6296296296296297,0.691358024691358,0.9135802469135802,0.6117565108719498,0.7987564556646163
hotel_0,2023-02-14,2023-02-10,0.6296296296296297,0.691358024691358,0.7160493827160493,0.6250619035875944,0.785560249533873
hotel_0,2023-02-15,2023-02-10,0.8888888888888888,0.691358024691358,0.6666666666666666,0.6166072025877469,0.7933387196563797
