unique_id,cutoff,metric,NBEATS,NHITS
hotel_0,2023-01-13,bias,-0.2193224597623739,-0.17620743357788315
hotel_105,2023-01-13,bias,0.17935794093859483,0.18003349785374181
hotel_112,2023-01-13,bias,-0.14018334831510273,-0.11851313880511694
hotel_126,2023-01-13,bias,0.08468361705219331,0.07487829323003559
hotel_133,2023-01-13,bias,-0.1374214912919585,-0.16012899724186444
hotel_14,2023-01-13,bias,-0.07850461953251832,-0.057913266865390986
hotel_21,2023-01-13,bias,-0.030946562214503214,-0.029078556904717102
hotel_28,2023-01-13,bias,0.0011311997160581605,9.99918723079775e-05
hotel_35,2023-01-13,bias,0.018447184136935642,0.006200988377843585
hotel_42,2023-01-13,bias,0.15594675264791505,0.21161031063717178
hotel_49,2023-01-13,bias,0.005284572077109829,-0.010977756973362975
hotel_56,2023-01-13,bias,-0.023733541227522355,-0.004188222402618049
hotel_63,2023-01-13,bias,0.06754684179548233,0.0848345836098232
hotel_7,2023-01-13,bias,0.05599738345097919,0.03947424363360509
hotel_70,2023-01-13,bias,-0.05940649390482066,-0.029681760799093054
hotel_77,2023-01-13,bias,0.0009099047497979232,0.0003145592054352164
hotel_84,2023-01-13,bias,-0.006297264165266635,0.09611312787219314
hotel_91,2023-01-13,bias,-0.08192958920763545,-0.07784729050307938
hotel_98,2023-01-13,bias,0.16040936781926088,0.13222654088301591
hotel_0,2023-02-10,bias,-0.061574645774074295,-0.09504249416015763
hotel_105,2023-02-10,bias,-0.04730038692955486,-0.01807105250703464
hotel_112,2023-02-10,bias,0.06754435173102788,0.07577852053301674
hotel_126,2023-02-10,bias,-0.04081162863756082,-0.06530441610088523
hotel_133,2023-02-10,bias,-0.022704902661209638,-0.016212632770560658
hotel_14,2023-02-10,bias,-0.048725658952386564,-0.054845484962681885
hotel_21,2023-02-10,bias,-0.012114168001861162,-0.009201046335634094
hotel_28,2023-02-10,bias,0.0009099047497979232,0.0003145592054352164
hotel_35,2023-02-10,bias,-0.19435750799519674,-0.20489695561783655
hotel_42,2023-02-10,bias,-0.15181209466717988,-0.1572923766758278
hotel_49,2023-02-10,bias,0.14374428121134852,0.13814623426141698
hotel_56,2023-02-10,bias,-0.01133481760819753,-0.004774934763000124
hotel_63,2023-02-10,bias,-0.005773097522675037,-0.017222517549045493
hotel_7,2023-02-10,bias,-0.06866721779094181,-0.08160539154481647
hotel_70,2023-02-10,bias,-0.07283027873451549,-0.06341943654574846
hotel_77,2023-02-10,bias,0.0009099047497979232,0.0003145592054352164
hotel_84,2023-02-10,bias,-0.18085597978478546,-0.15780730004129115
hotel_91,2023-02-10,bias,-0.013364497745591977,-0.017276501722550113
