unique_id,ds,cutoff,y,LGBMRegressor
hotel_0,2023-01-14,2023-01-13,0.9382716049382716,0.8457785743910566
hotel_0,2023-01-15,2023-01-13,0.6049382716049383,0.4460800033396061
hotel_0,2023-01-16,2023-01-13,0.4691358024691358,0.3805162231001667
hotel_0,2023-01-17,2023-01-13,0.5679012345679012,0.38255489350225674
hotel_0,2023-01-18,2023-01-13,0.6666666666666666,0.37568425561598084
hotel_0,2023-01-19,2023-01-13,0.6419753086419753,0.3683559874105963
hotel_0,2023-01-20,2023-01-13,0.7530864197530864,0.4805507454296858
hotel_0,2023-01-21,2023-01-13,0.7777777777777778,0.5414170989790876
hotel_0,2023-01-22,2023-01-13,0.654320987654321,0.34961326014456956
hotel_0,2023-01-23,2023-01-13,0.8024691358024691,0.3521927943055359
hotel_0,2023-01-24,2023-01-13,0.8641975308641975,0.37726040397614813
hotel_0,2023-01-25,2023-01-13,0.9506172839506173,0.4224113258220557
hotel_0,2023-01-26,2023-01-13,0.8765432098765432,0.4589762234148811
hotel_0,2023-01-27,2023-01-13,0.9135802469135802,0.6563815828393602
hotel_0,2023-01-28,2023-01-13,0.8271604938271605,0.7668133819765066
hotel_0,2023-01-29,2023-01-13,0.5432098765432098,0.5022370007556329
hotel_0,2023-01-30,2023-01-13,0.9876543209876543,0.44103752398674423
hotel_0,2023-01-31,2023-01-13,0.9876543209876543,0.3914549007574452
hotel_0,2023-02-01,2023-01-13,0.9135802469135802,0.44510519235924945
hotel_0,2023-02-02,2023-01-13,0.9382716049382716,0.4630454514924746
hotel_0,2023-02-03,2023-01-13,0.9382716049382716,0.7314925252248599
hotel_0,2023-02-04,2023-01-13,0.9876543209876543,0.8040648005556281
hotel_0,2023-02-05,2023-01-13,0.6049382716049383,0.5187120842167113
hotel_0,2023-02-06,2023-01-13,0.9135802469135802,0.5552475958717779
hotel_0,2023-02-07,2023-01-13,0.7160493827160493,0.5843920081243406
hotel_0,2023-02-08,2023-01-13,0.6666666666666666,0.5687917330332277
hotel_0,2023-02-09,2023-01-13,0.8395061728395061,0.5612479960581965
