metric,best_model,wins
bias,LGBMRegressor,95
bias,NHITS,52
bias,NBEATS,43
bias,AutoETS,30
bias,AutoARIMA,29
bias,SeasonalNaive,23
bias,Naive,13
mae,LGBMRegressor,95
mae,NHITS,48
mae,NBEATS,47
mae,AutoARIMA,30
mae,Naive,28
mae,AutoETS,26
mae,SeasonalNaive,11
mape,LGBMRegressor,86
mape,NBEATS,50
mape,NHITS,36
mape,AutoARIMA,28
mape,AutoETS,28
mape,Naive,15
mape,SeasonalNaive,15
rmse,LGBMRegressor,95
rmse,NHITS,49
rmse,NBEATS,46
rmse,AutoARIMA,36
rmse,AutoETS,29
rmse,Naive,22
rmse,SeasonalNaive,8
